id,mw,mw_type
ak000126digo,5.5,mwc
ak0001kedehd,5.6,mwc
ak0006fvclqz,5.9,mwb
ak0008v7ic1n,6.5,mwc
ak0008v7jnot,5.67,mw
ak000eaixc1d,5.8,mwc
ak000fcjnuse,5.8,mwc
ak000gef3jyo,5.6,mwc
ak00115fl54p,5.5,mwc
ak0019727ar1,5.9,mwc
ak0019lroivn,6.7,mww
ak001gswxc7,6.9,mww
ak002dlpsbnr,6.6,mww
ak002e435qpj,7.9,mww
ak002e439z6u,5.76,mw
ak0038vkfa42,6.0,mwb
ak0039vmzlo2,5.6,mwc
ak0041w552xi,5.5,mwc
ak00489udzds,6.7,mww
ak004x7kw4c,5.5,mwc
ak0054jz8chp,5.8,mwc
ak0078jiux5,5.8,mwc
ak0086prvtd2,5.9,mwc
ak00913zo63t,5.8,mwc
ak00943b2pqt,6.0,mwc
ak009697xs3z,5.9,mwc
ak0099gpk89q,5.6,mwc
ak0123800l9g,5.5,mww
ak012fko16th,5.8,mww
ak0131ffc3tc,5.9,mww
ak0138esnzr,7.5,mww
ak013ne6tla,5.5,mww
ak0144yx0r4n,5.6,mww
ak0144yx3dwz,5.6,mww
ak0145nk7efh,5.7,mww
ak0145z8amwh,5.7,mww
ak01479djus2,5.8,mww
ak0147odwe1b,5.7,mww
ak0149guzic1,6.1,mww
ak014cbigci8,6.2,mww
ak0156uj8rk3,6.8,mww
ak01581sc69w,5.8,mww
ak0159nc9dk8,6.3,mww
ak01613v15nv,7.1,mww
ak01649w95tp,6.2,mww
ak0166zpwei8,5.7,mww
ak0169f6vp18,5.5,mww
ak0172sx1gks,5.6,mww
ak017b65zkfy,5.5,mww
ak018aap2cqu,6.4,mww
ak018aasz24z,6.0,mww
ak018exsi6u4,5.5,mww
ak018fcnsk91,7.0,mww
ak018fcntv5m,5.8,mww
ak0196r9o3rq,5.8,mww
ak020dgx8guc,5.9,mww
ak0214icukav,5.5,mww
ak0216xu2rod,6.1,mww
ak0219neiszm,8.2,mww
ak0219nejm3h,6.44,mw
ak0219nekhhk,6.47,mw
ak0219p0hp3k,5.5,mww
ak021bwmmasc,5.6,mww
ak021d1u1nos,6.9,mww
ak021gbh4rso,5.9,mww
ak024jyw3sk,5.9,mww
ak025215oy3m,5.7,mww
ak025b7povrc,5.6,mww
ak2025xjbvhj,6.0,mww
ak9881qzgn36,6.4,mwc
ak988fe64l3g,5.7,mwc
ak9897od09pa,5.6,mwc
ak989bcpkhdo,7.0,mwc
ak99032ynbnj,5.6,mwc
ak9905kdmjlk,6.5,mww
ak9906upz2ax,6.1,mwc
ak9908ts759e,5.5,mwc
ak990achmyk9,5.5,mwc
ak9915k8az9c,6.3,mwc
ak99181hs4fy,5.6,mwc
ak992640hvsx,5.5,mwc
ak9934vdehk5,5.5,mwc
ak9936t0spi3,5.5,mwc
ak993ew5kxsm,5.9,mwc
ak9951zg3gik,5.6,mwc
ak9956mby779,5.5,mwc
ak995cti1ypa,6.0,mwc
ak995gq0uqck,5.7,mwc
ak9961r71dl0,5.51,mw
ak996dlw9hf1,5.7,mwc
ak996frcxrhs,5.5,mwc
ak9988qjnmuz,6.1,mwc
ak998ec5t1ne,5.7,mwc
ak9995qwb5j3,5.7,mwc
ak9995u9o1gr,6.2,mwc
ak9996r8tfqa,5.6,mwc
ak999axmnaue,5.5,mwc
ak999fmohlzt,7.0,mww
ak999fnydiyi,6.4,mwc
aka2026powmkf,5.2,mww
ci1053635,5.7,mwc
ci12456384,5.5,mwc
ci134894,6.0,mwc
ci14565620,5.9,mwc
ci14607652,7.3,mww
